INSTNM,CITY,STABBR,HIGHDEG,CONTROL,HSI,ADM_RATE,SAT_AVG,UGDS,UGDS_HISP,FIRSTGEN_RPY_1YR_RT,PELL_EVER,FIRST_GEN,ICLEVEL,FTFTPCTPELL
Alabama A & M University,Normal,AL,4,1,0,0.8986,957,4990,0.0088,0.164300203,0.852793471,0.365828092,1,0.7057
University of Alabama at Birmingham,Birmingham,AL,4,1,0,0.9211,1220,13186,0.0334,0.431328036,0.624930129,0.341223671,1,0.3788
Amridge University,Montgomery,AL,4,2,0,NULL,NULL,351,0.0171,0.163865546,0.864864865,0.5125,1,1
University of Alabama in Huntsville,Huntsville,AL,4,1,0,0.8087,1314,7458,0.0528,0.44207723,0.557136877,0.310132159,1,0.2707
Alabama State University,Montgomery,AL,4,1,0,0.9774,972,3903,0.0095,0.139423077,0.874600639,0.343434343,1,0.7792
The University of Alabama,Tuscaloosa,AL,4,1,0,0.5906,1252,32177,0.0499,0.499052133,0.452631579,0.225712689,1,0.1656
Central Alabama Community College,Alexander City,AL,2,1,0,NULL,NULL,1211,0.0239,0.185385656,0.869158879,0.549676026,2,0.5817
Athens State University,Athens,AL,4,1,0,NULL,NULL,2732,0.0311,0.420584498,0.720703125,0.477496484,1,NULL
Auburn University at Montgomery,Montgomery,AL,4,1,0,0.9281,1084,4529,0.0117,0.336099585,0.72575906,0.38189609,1,0.5183
Auburn University,Auburn,AL,4,1,0,0.7543,1289,24147,0.0342,0.628310502,0.436294971,0.172647119,1,0.1409
Birmingham-Southern College,Birmingham,AL,3,2,0,0.5666,1232,1265,0.0213,0.690476191,0.466063348,0.172494173,1,0.2665
Chattahoochee Valley Community College,Phenix City,AL,2,1,0,NULL,NULL,1446,0.0595,0.259803922,0.923931624,0.430267062,2,0.6848
South University-Montgomery,Montgomery,AL,4,3,0,NULL,NULL,321,0.0187,0.180205694,0.777257904,0.472288337,1,0.75
Enterprise State Community College,Enterprise,AL,2,1,0,NULL,NULL,1269,0.0583,0.354120267,0.872037915,0.421891605,2,0.5882
Coastal Alabama Community College,Bay Minette,AL,2,1,0,NULL,NULL,5494,0.0346,0.296500921,0.790082142,0.43511965,2,0.4776
Faulkner University,Montgomery,AL,4,2,0,0.5227,1069,2079,0.0178,0.217046581,0.777463194,0.430031949,1,0.5475
Gadsden State Community College,Gadsden,AL,2,1,0,NULL,NULL,4147,0.0388,NULL,PrivacySuppressed,0.514954486,2,0.6509
New Beginning College of Cosmetology,Albertville,AL,1,3,0,NULL,NULL,83,0.1566,0.428571429,PrivacySuppressed,0.5,3,0.8077
George C Wallace Community College-Dothan,Dothan,AL,2,1,0,NULL,NULL,3746,0.036,NULL,PrivacySuppressed,0.485153765,2,0.6298
George C Wallace State Community College-Hanceville,Hanceville,AL,2,1,0,NULL,NULL,4569,0.0512,0.377526754,0.811128284,0.498813157,2,0.5763
George C Wallace State Community College-Selma,Selma,AL,2,1,0,NULL,NULL,1104,0.0063,NULL,PrivacySuppressed,0.512588117,2,0.8947
Herzing University-Birmingham,Birmingham,AL,4,2,0,0.95,NULL,544,0.0184,0.230616302,0.820344958,0.520903265,1,1
Huntingdon College,Montgomery,AL,3,2,0,0.5841,1100,1078,0.0557,0.388679245,0.628698225,0.3456,1,0.4456
Heritage Christian University,Florence,AL,4,2,0,NULL,NULL,49,0.0816,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1,0
J. F. Drake State Community and Technical College,Huntsville,AL,2,1,0,NULL,NULL,678,0.0236,NULL,PrivacySuppressed,0.589965398,2,0.8778
J F Ingram State Technical College,Deatsville,AL,1,1,0,NULL,NULL,443,0.0135,NULL,PrivacySuppressed,0.491803279,2,0.203
Jacksonville State University,Jacksonville,AL,4,1,0,0.543,1135,6394,0.0084,0.337164751,0.690222985,0.36377025,1,0.4404
Jefferson State Community College,Birmingham,AL,2,1,0,NULL,NULL,6937,0.0529,0.40201005,0.781962339,0.450290778,2,0.5331
John C Calhoun State Community College,Tanner,AL,2,1,0,NULL,NULL,8270,0.0643,0.314997405,0.795511793,0.455343703,2,0.4543
Judson College,Marion,AL,3,2,0,0.482,1054,259,0.0232,0.367088608,0.812967581,0.413793103,1,0.6
Lawson State Community College,Birmingham,AL,2,1,0,NULL,NULL,2959,0.021,NULL,PrivacySuppressed,0.474723158,2,0.835
University of West Alabama,Livingston,AL,4,1,0,0.3966,1059,2152,0.0191,0.290233838,0.760344828,0.403210576,1,0.603
Lurleen B Wallace Community College,Andalusia,AL,2,1,0,NULL,NULL,1267,0.0134,NULL,PrivacySuppressed,0.520342612,2,0.7036
Marion Military Institute,Marion,AL,2,1,0,0.5646,1155,392,0.0918,0.550458716,0.627659575,0.233802817,2,0.427
Miles College,Fairfield,AL,3,2,0,NULL,NULL,1546,0.0078,0.116030534,0.901836158,0.416458853,1,0.9088
University of Mobile,Mobile,AL,4,2,0,0.4704,1094,1294,0.0193,0.328358209,0.646825397,0.324285714,1,0.467
University of Montevallo,Montevallo,AL,4,1,0,0.4848,1170,2251,0.0542,0.43020595,0.621674877,0.325237592,1,0.4046
Northwest-Shoals Community College,Muscle Shoals,AL,2,1,0,NULL,NULL,2590,0.0676,0.309370988,0.874939409,0.514111788,2,0.6071
University of North Alabama,Florence,AL,4,1,0,0.6434,1134,5741,0.0305,0.437751004,0.661764706,0.36326024,1,0.444
Northeast Alabama Community College,Rainsville,AL,2,1,0,NULL,NULL,1982,0.1145,0.4125,0.897735573,0.58277592,2,0.7016
Oakwood University,Huntsville,AL,4,2,0,0.6589,999,1569,0.051,0.215767635,0.725274725,0.17623498,1,0.4691
Reid State Technical College,Evergreen,AL,2,1,0,NULL,NULL,261,0.0038,NULL,PrivacySuppressed,0.590322581,2,0.7091
Bishop State Community College,Mobile,AL,2,1,0,NULL,NULL,2440,0.0246,NULL,PrivacySuppressed,0.485397785,2,0.7913
Samford University,Birmingham,AL,4,2,0,0.8208,1228,3524,0.0329,0.632258065,0.313084112,0.138055222,1,0.1377
Selma University,Selma,AL,4,2,0,NULL,NULL,304,0.0099,0.060606061,0.901694915,0.619433198,1,0.86
Shelton State Community College,Tuscaloosa,AL,2,1,0,NULL,NULL,3829,0.0016,NULL,PrivacySuppressed,0.476304452,2,0.5811
Snead State Community College,Boaz,AL,2,1,0,NULL,NULL,1872,0.1448,0.296703297,0.875731945,0.53262519,2,0.6104
University of South Alabama,Mobile,AL,4,1,0,0.7931,1186,10035,0.0367,0.411495422,0.637299035,0.334257975,1,0.4165
Spring Hill College,Mobile,AL,4,2,0,0.6577,1130,1252,0.0319,0.454054054,0.504587156,0.251633987,1,0.4278
Stillman College,Tuscaloosa,AL,3,2,0,0.3859,NULL,689,0.0029,0.184563758,0.89254766,0.410505837,1,0.7797
Talladega College,Talladega,AL,3,2,0,NULL,NULL,1208,0.0406,0.121710526,0.893442623,0.398058252,1,0.8471
H Councill Trenholm State Community College,Montgomery,AL,2,1,0,NULL,NULL,1567,0.0243,NULL,PrivacySuppressed,0.430439952,2,0.7405
Troy University,Troy,AL,4,1,0,0.8767,1082,13147,0.0374,0.249147404,0.722014622,0.389845712,1,0.4587
Tuskegee University,Tuskegee,AL,4,2,0,0.5182,1119,2529,0.0087,0.361702128,0.701140684,0.230643847,1,0.4211
United States Sports Academy,Daphne,AL,4,2,0,NULL,NULL,266,0.0602,0.275862069,0.732394366,PrivacySuppressed,1,NULL
Bevill State Community College,Jasper,AL,2,1,0,NULL,NULL,2825,0.0212,NULL,PrivacySuppressed,0.530808366,2,0.5898
University of Alaska Anchorage,Anchorage,AK,4,1,0,0.8115,NULL,10482,0.0926,0.473602485,0.682656827,0.389193875,1,0.3274
Alaska Bible College,Palmer,AK,3,2,0,NULL,NULL,37,0.027,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1,0.2
University of Alaska Fairbanks,Fairbanks,AK,4,1,0,0.7611,1128,4657,0.0782,0.460818714,0.664795059,0.398832685,1,0.3119
University of Alaska Southeast,Juneau,AK,4,1,0,0.6333,NULL,1216,0.0831,0.534615385,0.668615984,0.395143488,1,0.3032
Alaska Pacific University,Anchorage,AK,4,2,0,0.8425,NULL,283,0.0636,0.550561798,0.650684932,PrivacySuppressed,1,0.5
Alaska Vocational Technical Center,Seward,AK,1,1,0,NULL,NULL,855,0.0351,0.545454546,0.741573034,0.44137931,3,0.4416
Charter College,Vancouver,WA,4,3,0,1,NULL,2853,0.2475,0.248644742,0.861532242,0.554040144,1,0.7805
Alaska Career College,Anchorage,AK,2,3,0,NULL,NULL,415,0.0892,0.439628483,0.786858974,0.476772616,2,0.6203
Empire Beauty School-Tucson,Tucson,AZ,1,3,0,NULL,NULL,102,0.598,0.216061186,0.890945473,0.569871795,3,0.9259
Carrington College-Phoenix North,Phoenix,AZ,2,3,0,0.8951,NULL,475,0.2779,0.289209787,0.866146993,0.554835072,2,0.3616
Carrington College-Mesa,Mesa,AZ,2,3,0,NULL,NULL,541,0.1405,0.289209787,0.866146993,0.554835072,2,0.3333
Carrington College-Tucson,Tucson,AZ,1,3,0,0.8736,NULL,227,0.2863,0.289209787,0.866146993,0.554835072,2,0.3632
CollegeAmerica-Flagstaff,Flagstaff,AZ,2,2,0,NULL,NULL,62,0.1452,0.087286528,0.92849632,0.584527221,1,1
Arizona Academy of Beauty-East,Tucson,AZ,1,3,0,NULL,NULL,57,0.4737,PrivacySuppressed,0.910714286,0.505376344,3,1
Platt College-Arizona Automotive Institute Arizona,Glendale,AZ,1,3,0,NULL,NULL,692,0.3931,0.140056022,0.890639145,0.586231884,3,0.7665
Brookline College-Phoenix,Phoenix,AZ,4,3,0,NULL,NULL,1230,0.3146,0.152603232,0.882501808,0.559032717,1,0.7746
Arizona State University-Tempe,Tempe,AZ,4,1,0,0.8478,1240,42529,0.215,0.503433001,0.627498353,0.381317921,1,0.2983
Arizona Western College,Yuma,AZ,2,1,1,NULL,NULL,6673,0.74,0.30952381,0.984714004,0.610764687,2,0.7496
University of Arizona,Tucson,AZ,4,1,1,0.8442,1198,33509,0.2689,0.573090345,0.619043471,0.314072957,1,0.2841
Southwest University of Visual Arts-Tucson,Tucson,AZ,3,3,0,NULL,NULL,124,0.4839,0.223529412,0.752475248,0.4,1,0.6
Central Arizona College,Coolidge,AZ,2,1,1,NULL,NULL,4976,0.3071,0.237731734,0.927181208,0.498192045,2,0.5272
Charles of Italy Beauty College,Lake Havasu City,AZ,1,3,0,NULL,NULL,43,0.1163,0.379310345,PrivacySuppressed,0.492307692,3,0.52
Cochise County Community College District,Sierra Vista,AZ,2,1,1,NULL,NULL,3404,0.4483,0.312217195,0.934655776,0.486238532,2,0.5878
Empire Beauty School-Flagstaff,Flagstaff,AZ,1,3,0,NULL,NULL,37,0.1351,0.239350913,0.850135014,0.501391208,3,0.6207
Empire Beauty School-Chandler,Chandler,AZ,1,3,0,NULL,NULL,48,0.1042,0.239350913,0.850135014,0.501391208,3,0.9048
Cortiva Institute-Tucson,Tucson,AZ,1,3,0,NULL,NULL,99,0.3333,0.413461539,0.773722628,0.49695122,3,0.3333
Avalon School of Cosmetology-Mesa,Mesa,AZ,1,3,0,NULL,NULL,356,0.2781,0.294,0.774593339,0.488605287,3,0.7885
Eastern Arizona College,Thatcher,AZ,2,1,0,NULL,NULL,4291,0.2039,PrivacySuppressed,PrivacySuppressed,0.39347079,2,0.3514
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,4,2,0,0.6723,NULL,2712,0.1294,0.539208883,0.670030434,0.355459272,1,0.2109
School of Architecture at Taliesin,Scottsdale,AZ,4,2,0,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL,NULL,1,NULL
Glendale Community College,Glendale,AZ,2,1,1,NULL,NULL,13588,0.4006,0.308275862,0.899445662,0.529686243,2,0.5619
Grand Canyon University,Phoenix,AZ,4,3,0,0.732,NULL,53209,0.2065,0.280488666,0.706253488,0.474408053,1,0.4343
GateWay Community College,Phoenix,AZ,2,1,1,NULL,NULL,4188,0.4527,0.26,0.854195804,0.56622807,2,0.6122
Mesa Community College,Mesa,AZ,2,1,1,NULL,NULL,15775,0.3002,0.261749819,0.847362951,0.457851491,2,0.4727
Mohave Community College,Kingman,AZ,2,1,0,NULL,NULL,2778,0.2451,0.306577481,0.925795053,0.536089699,2,0.6797
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Phoenix,AZ,1,3,0,NULL,NULL,952,0.1208,0.352177387,0.744305902,0.51090218,2,0.6236
Dine College,Tsaile,AZ,3,1,0,NULL,NULL,1399,0.0014,NULL,PrivacySuppressed,0.431893688,1,0.9011
Northern Arizona University,Flagstaff,AZ,4,1,0,0.8262,NULL,26647,0.2475,0.46803653,0.630709275,0.386862576,1,0.3786
Northland Pioneer College,Holbrook,AZ,2,1,0,NULL,NULL,1235,0.1247,NULL,PrivacySuppressed,0.466437177,2,0.5571
Ottawa University-Phoenix,Phoenix,AZ,4,2,0,NULL,NULL,340,0.2294,0.376344086,0.632026144,0.400868307,1,NULL
Phoenix College,Phoenix,AZ,2,1,1,NULL,NULL,8472,0.5559,0.195564516,0.894647569,0.61575524,2,0.7036
Cortiva Institute-Scottsdale,Scottsdale,AZ,1,3,0,NULL,NULL,69,0.1304,0.5,0.60989011,0.475609756,3,0.5294
Pima Community College,Tucson,AZ,2,1,1,NULL,NULL,17246,0.4774,0.293462328,0.90703405,0.477607973,2,0.5853
Pima Medical Institute-Tucson,Tucson,AZ,3,3,0,NULL,NULL,1851,0.3809,0.414557436,0.75475064,0.505392912,1,0.4825
Pima Medical Institute-Albuquerque,Albuquerque,NM,2,3,0,NULL,NULL,565,0.5398,0.414557436,0.75475064,0.505392912,2,0.6543
Prescott College,Prescott,AZ,4,2,0,0.9516,NULL,394,0.0838,0.341666667,0.70531401,0.231958763,1,0.4688
Refrigeration School Inc,Phoenix,AZ,2,3,0,NULL,NULL,912,0.2928,0.327619048,0.833175356,0.522565321,2,0.64
Rio Salado College,Tempe,AZ,2,1,0,NULL,NULL,6066,0.2659,0.160259611,0.838847385,0.473234743,2,0.7922
Roberto-Venn School of Luthiery,Phoenix,AZ,1,3,0,NULL,NULL,20,0,0.565217391,0.666666667,PrivacySuppressed,3,0.5333
Scottsdale Community College,Scottsdale,AZ,2,1,0,NULL,NULL,5660,0.2274,0.307826087,0.812817507,0.40233498,2,0.3657
South Mountain Community College,Phoenix,AZ,2,1,1,NULL,NULL,2933,0.58,0.175675676,0.922649375,0.589511754,2,0.7342
Arizona Christian University,Glendale,AZ,3,2,0,0.5644,1032,705,0.2113,0.418918919,0.700404858,0.382550336,1,0.3816
Universal Technical Institute of Arizona Inc,Avondale,AZ,2,3,0,NULL,NULL,1869,0.2975,0.428126945,0.736590783,0.548605358,2,0.6671
Empire Beauty School-NW Phoenix,Phoenix,AZ,1,3,0,NULL,NULL,87,0.1379,0.226373626,0.886914378,0.552452316,3,1
Yavapai College,Prescott,AZ,2,1,0,NULL,NULL,4598,0.1973,0.306557377,0.931961361,0.5,2,0.5636
University of Arkansas at Little Rock,Little Rock,AR,4,1,0,0.7933,1099,6328,0.0466,0.601515972,0.744325594,0.391040462,1,0.5537
University of Arkansas for Medical Sciences,Little Rock,AR,4,1,0,NULL,NULL,601,0.0732,0.8,0.585,0.395027624,1,NULL
Arkansas Baptist College,Little Rock,AR,3,2,0,NULL,NULL,525,0.0248,0.262337662,0.922285714,0.449528937,1,0.8712
Arkansas Beauty School-Little Rock,Little Rock,AR,1,3,0,NULL,NULL,125,0.016,0.382352941,0.900552486,0.554054054,3,1
Arkansas Beauty College,Russellville,AR,1,3,0,NULL,NULL,15,0.1333,PrivacySuppressed,PrivacySuppressed,0.529411765,3,0.7143
Lyon College,Batesville,AR,3,2,0,0.4986,1195,655,0.0687,0.696969697,0.603305785,0.3,1,0.4474
Arkansas College of Barbering and Hair Design,North Little Rock,AR,1,3,0,NULL,NULL,128,0.0234,0.470588235,0.943820225,0.618421053,3,0.5
Arthur's Beauty College Inc-Fort Smith,Fort Smith,AR,1,3,0,NULL,NULL,31,0.0645,PrivacySuppressed,0.93373494,0.542857143,3,0.6774
University of Arkansas,Fayetteville,AR,4,1,0,0.7747,1238,23121,0.0898,0.611863314,0.469992973,0.259961487,1,0.192
University of Arkansas at Pine Bluff,Pine Bluff,AR,4,1,0,0.4435,978,2467,0.0186,0.34375,0.877817319,0.367737526,1,0.7968
Arkansas State University-Beebe,Beebe,AR,2,1,0,NULL,NULL,2473,0.0607,0.566985646,0.868059373,0.456161864,2,0.5575
Arkansas State University-Main Campus,Jonesboro,AR,4,1,0,0.7721,1189,8623,0.0324,0.585526316,0.719400313,0.388266797,1,0.4135
Arkansas Tech University,Russellville,AR,4,1,0,0.9024,NULL,7896,0.0737,0.586453745,0.751579865,0.457478006,1,0.547
University of Arkansas at Monticello,Monticello,AR,4,1,0,NULL,NULL,2412,0.0415,0.483537159,0.819947507,0.453397474,1,0.6603
Arthur's Beauty College Inc-Jacksonville,Jacksonville,AR,1,3,0,NULL,NULL,36,0.0556,0.441860465,0.898550725,0.460674157,3,0.8065
Baptist Health College Little Rock,Little Rock,AR,2,2,0,0.6667,1015,648,0.0309,0.673267327,0.6144,0.416955017,2,0.8889
Black River Technical College,Pocahontas,AR,2,1,0,NULL,NULL,1271,0.011,0.458064516,0.911351351,0.480697385,2,0.6699
University of Central Arkansas,Conway,AR,4,1,0,0.911,1186,8906,0.0565,0.603719599,0.687546058,0.345958922,1,0.4229
Central Baptist College,Conway,AR,3,2,0,0.6074,1004,663,0.0483,0.576923077,0.709219858,0.345549738,1,0.5588
Cossatot Community College of the University of Arkansas,De Queen,AR,2,1,1,NULL,NULL,903,0.2713,NULL,PrivacySuppressed,0.586206897,2,0.6995
Crowley's Ridge College,Paragould,AR,3,2,0,NULL,NULL,178,0.0169,0.509433962,0.673202614,0.395683453,1,0.5493
Crowley's Ridge Technical Institute,Forrest City,AR,1,1,0,NULL,NULL,168,0.0238,NULL,PrivacySuppressed,0.563535912,3,0.7879
East Arkansas Community College,Forrest City,AR,2,1,0,NULL,NULL,683,0.0176,0.34375,0.934117647,0.508287293,2,0.5846
Eastern College of Health Vocations-Little Rock,Little Rock,AR,1,3,0,NULL,NULL,121,0.0413,0.442660551,0.892605634,0.594218415,3,0.8889
Imagine-Paul Mitchell Partner School,North Little Rock,AR,1,3,0,NULL,NULL,382,0.0838,0.429268293,0.828371279,0.456790124,3,0.7407
National Park College,Hot Springs,AR,2,1,0,NULL,NULL,1869,0.084,0.438961039,0.919508868,0.456661316,2,0.7558
University of Arkansas Community College-Batesville,Batesville,AR,2,1,0,NULL,NULL,921,0.0554,0.505791506,0.922029703,0.458571429,2,0.6049
Harding University,Searcy,AR,4,2,0,0.7462,1222,3953,0.0377,0.622093023,0.448867536,0.205479452,1,0.2331
Henderson State University,Arkadelphia,AR,4,1,0,0.9055,1116,2996,0.0534,0.574468085,0.764232317,0.376738306,1,0.2016
Hendrix College,Conway,AR,4,2,0,0.7217,1346,1192,0.0562,0.653846154,0.464285714,0.192066806,1,0.3757
Hot Springs Beauty College,Hot Springs,AR,1,3,0,NULL,NULL,28,0.2143,PrivacySuppressed,PrivacySuppressed,0.446808511,3,0.75
Jefferson Regional Medical Center School of Nursing,Pine Bluff,AR,2,2,0,NULL,NULL,70,0.0143,PrivacySuppressed,0.674418605,PrivacySuppressed,2,NULL
John Brown University,Siloam Springs,AR,4,2,0,0.7715,1257,1575,0.0698,0.708029197,0.558441558,0.288828338,1,0.3221
Career Academy of Hair Design,Springdale,AR,1,3,0,NULL,NULL,211,0.1943,0.380208333,0.845505618,0.608843537,3,0.69
Academy of Salon and Spa,Fort Smith,AR,1,3,0,NULL,NULL,53,0.1321,0.515625,PrivacySuppressed,0.505050505,3,0.8571
Arkansas State University Mid-South,West Memphis,AR,2,1,0,NULL,NULL,657,0.0533,NULL,PrivacySuppressed,0.594427245,2,0.8475
Arkansas Northeastern College,Blytheville,AR,2,1,0,NULL,NULL,881,0.0454,PrivacySuppressed,PrivacySuppressed,0.589453861,2,0.6596
New Tyler Barber College Inc,North Little Rock,AR,1,3,0,NULL,NULL,38,0,PrivacySuppressed,PrivacySuppressed,0.56,3,0.9167
North Arkansas College,Harrison,AR,2,1,0,NULL,NULL,1393,0.079,0.385542169,0.94023569,0.537511871,2,0.7115
Northwest Technical Institute,Springdale,AR,1,1,0,NULL,NULL,237,0.1477,NULL,PrivacySuppressed,0.586387435,3,0.6667
Ouachita Baptist University,Arkadelphia,AR,3,2,0,0.636,1193,1546,0.0524,0.560344828,0.530612245,0.235489221,1,0.3077
Arkansas State University Three Rivers,Malvern,AR,2,1,0,NULL,NULL,566,0.0495,0.456043956,0.82428115,0.5,2,0.6727
Ozarka College,Melbourne,AR,2,1,0,NULL,NULL,761,0.0171,0.379699248,0.938271605,0.509219858,2,0.8112
University of the Ozarks,Clarksville,AR,3,2,0,0.5232,NULL,862,0.1288,0.569767442,0.68258427,0.346875,1,0.4324
University of Arkansas Community College-Morrilton,Morrilton,AR,2,1,0,0.7415,NULL,1720,0.0797,0.521226415,0.875573019,0.492526158,2,0.622
Philander Smith College,Little Rock,AR,3,2,0,NULL,NULL,1000,0.018,0.37254902,0.908045977,0.430340557,1,0.8519
Phillips Community College of the University of Arkansas,Helena,AR,2,1,0,NULL,NULL,710,0.0155,PrivacySuppressed,PrivacySuppressed,0.445945946,2,0.8534
Southeast Arkansas College,Pine Bluff,AR,2,1,0,NULL,NULL,947,0.0211,0.440251572,0.944121071,0.527740189,2,0.8198
Professional Cosmetology Education Center,El Dorado,AR,1,3,0,NULL,NULL,30,0.0333,0.535714286,PrivacySuppressed,PrivacySuppressed,3,0.875
University of Arkansas-Pulaski Technical College,North Little Rock,AR,2,1,0,NULL,NULL,3705,0.0049,0.470487596,0.850864758,0.439144737,2,0.6128
University of Arkansas Hope-Texarkana,Hope,AR,2,1,0,NULL,NULL,1542,0.0713,PrivacySuppressed,PrivacySuppressed,0.550377834,2,0.7441
University of Arkansas Community College Rich Mountain,Mena,AR,2,1,0,NULL,NULL,449,0.0579,NULL,PrivacySuppressed,0.635327635,2,0.7661
Paul Mitchell the School-Arkansas,Fayetteville,AR,1,3,0,NULL,NULL,95,0.0947,0.698113208,0.72611465,0.482014389,3,0.65
Searcy Beauty College,Searcy,AR,1,3,0,NULL,NULL,75,0.0667,0.457142857,PrivacySuppressed,0.670454546,3,0.9118
Shorter College,N Little Rock,AR,2,2,0,NULL,NULL,569,0.0369,PrivacySuppressed,PrivacySuppressed,0.557281553,2,0.9872
Williams Baptist University,Walnut Ridge,AR,3,2,0,0.5639,1034,460,0.0522,0.630769231,0.696153846,0.323529412,1,0.493
South Arkansas Community College,El Dorado,AR,2,1,0,NULL,NULL,1143,0.0542,0.472,0.8731444,0.539556962,2,0.6327
Southern Arkansas University Main Campus,Magnolia,AR,4,1,0,0.6878,1105,3203,0.0443,0.510887772,0.752232143,0.420921544,1,0.542
Southern Arkansas University Tech,Camden,AR,2,1,0,NULL,NULL,733,0.0396,0.377880184,0.897212544,0.524390244,2,0.4821
Velvatex College of Beauty Culture,Little Rock,AR,1,3,0,NULL,NULL,16,0,NULL,PrivacySuppressed,0.636363636,3,0.8462
University of Arkansas-Fort Smith,Fort Smith,AR,4,1,0,NULL,NULL,5235,0.1297,0.491129032,0.791435954,0.484022156,1,0.5728
Academy of Art University,San Francisco,CA,4,3,0,NULL,NULL,6898,0.1132,0.276352152,0.735810811,0.408370159,1,0.3444
Academy of Chinese Culture and Health Sciences,Oakland,CA,4,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
The Academy of Radio and TV Broadcasting,Huntington Beach,CA,1,3,0,NULL,NULL,26,0.2308,0.275362319,0.820512821,PrivacySuppressed,3,1
Avalon School of Cosmetology-Alameda,Alameda,CA,1,3,0,NULL,NULL,118,0.3814,0.213235294,0.820627803,0.517241379,3,0.5652
College of Alameda,Alameda,CA,2,1,1,NULL,NULL,4975,0.2372,PrivacySuppressed,PrivacySuppressed,0.561310782,2,0.5377
Allan Hancock College,Santa Maria,CA,2,1,1,NULL,NULL,9045,0.6279,0.2,0.986511119,0.594700687,2,0.5247
American Academy of Dramatic Arts-Los Angeles,Los Angeles,CA,2,2,0,0.7892,NULL,263,0.0913,0.333333333,0.624338624,0.233983287,2,0.2832
American Baptist Seminary of the West,Berkeley,CA,4,2,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,1,NULL
American Film Institute Conservatory,Los Angeles,CA,4,2,0,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1,NULL
American Beauty College,West Covina,CA,1,3,0,NULL,NULL,129,0.7829,0.5,0.917808219,0.636363636,3,0.875
American Career College-Los Angeles,Los Angeles,CA,2,3,0,NULL,NULL,1284,0.6355,0.290108354,0.868346008,0.559902201,2,0.7022
American Conservatory Theater,San Francisco,CA,4,2,0,NULL,NULL,0,0,NULL,PrivacySuppressed,PrivacySuppressed,1,1
American River College,Sacramento,CA,2,1,0,NULL,NULL,28573,0.274,0.183486239,0.989229941,0.514147803,2,0.4874
Antelope Valley College,Lancaster,CA,2,1,1,NULL,NULL,12080,0.5623,0.128417038,0.984189079,0.561569981,1,0.6651
Art Center College of Design,Pasadena,CA,4,2,0,0.6765,NULL,1987,0.1112,0.572254335,0.631768953,0.242884251,1,0.2601
Associated Technical College-Los Angeles,Los Angeles,CA,1,3,0,NULL,NULL,367,0.3597,0.37987013,0.972436604,0.597156398,3,0.9152
Associated Technical College-San Diego,San Diego,CA,1,3,0,NULL,NULL,98,0.2959,0.347107438,PrivacySuppressed,0.508108108,3,1
Azusa Pacific University,Azusa,CA,4,2,1,0.6851,1147,5545,0.3322,0.499134948,0.568286198,0.379825992,1,0.3333
Bakersfield College,Bakersfield,CA,3,1,1,NULL,NULL,19178,0.6689,0.227353464,0.994832677,0.630508475,1,0.6081
Barstow Community College,Barstow,CA,2,1,1,NULL,NULL,2721,0.4116,NULL,PrivacySuppressed,0.531069827,2,0.6655
Bellus Academy-Chula Vista,Chula Vista,CA,1,3,0,NULL,NULL,202,0.5891,0.230263158,0.885714286,0.56147541,2,0.8421
Bethesda University,Anaheim,CA,4,2,0,NULL,NULL,238,0.1807,PrivacySuppressed,0.864583333,0.493975904,1,0.2586
Biola University,La Mirada,CA,4,2,0,0.7347,1170,4005,0.2132,0.591478697,0.526671168,0.235507246,1,0.3016
Brownson Technical School,Anaheim,CA,1,3,0,NULL,NULL,61,0.5738,0.56,0.852272727,0.632768362,3,0.788
Bryan University,Tempe,AZ,3,3,0,NULL,NULL,1075,0.0595,0.253148615,0.911012783,0.535202864,1,0.905
Butte College,Oroville,CA,2,1,1,NULL,NULL,9942,0.2863,0.261206897,0.965034965,0.508591065,2,0.5293
California Institute of Integral Studies,San Francisco,CA,4,2,0,NULL,NULL,61,0.1148,0.448979592,0.741176471,PrivacySuppressed,1,NULL
Cabrillo College,Aptos,CA,2,1,1,NULL,NULL,10164,0.4624,0.309433962,0.979280688,0.507571802,2,0.3886
California Baptist University,Riverside,CA,4,2,1,0.7955,1103,7811,0.3644,0.41385948,0.622763806,0.416079812,1,0.4138
California College of the Arts,San Francisco,CA,4,2,0,0.8818,NULL,1453,0.1376,0.556390977,0.65945946,0.244186047,1,0.2553
University of California-Hastings College of Law,San Francisco,CA,4,1,0,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1,NULL
California Institute of Technology,Pasadena,CA,4,2,0,0.0662,1566,948,0.1382,PrivacySuppressed,0.673913044,PrivacySuppressed,1,0.1191
California Lutheran University,Thousand Oaks,CA,4,2,1,0.7147,1163,3054,0.335,0.593908629,0.513108614,0.353858785,1,0.3009
